hotel,price,score,reviews_count,review_text,free_cancellation
Finca Ses Fontanelles, 610,8.1,354,very good,No Free Cancellation
Akeah Hotel Gran VÃ­a, 436,8.6,4477,excellent,No Free Cancellation
Mas Serrat de la Teia, 743,9.2,36,wonderful,No Free Cancellation
Catalonia El Pilar, 388,8.9,3781,excellent,Free Cancellation
La Perla de Torrenueva, 397,9.6,36,exceptional,Free Cancellation
Hotel Carlton, 577,8.8,5458,excellent,No Free Cancellation
Hotel RH Portocristo & Wellness, 308,8.7,1981,excellent,Free Cancellation
Casa Rural La PeÃ±a, 717,9.8,14,exceptional,Free Cancellation
Club JM Lanzarote, 434,8.6,280,excellent,No Free Cancellation
SBH Costa Calma Beach Resort Hotel, 609,7.4,512,good,Free Cancellation
Casa Duende del Tajo, 215,8,1712,very good,No Free Cancellation
Flying La Palma - Sostenible, 499,9.6,293,exceptional,Free Cancellation
Villa MARTINA, 454,8.4,80,very good,Free Cancellation
Gran Hotel GuadalpÃ­n Banus, 448,8,1889,very good,No Free Cancellation
AluaSun Doblemar, 252,7.6,4546,good,Free Cancellation
Evenia Monte Alba, 547,8.1,269,very good,Free Cancellation
Occidental JandÃ­a Playa, 552,8,2151,very good,Free Cancellation
Royal Palm Resort & Spa - Adults Only, 620,8.7,2953,excellent,Free Cancellation
Morar Ourense, 279,9.8,882,exceptional,No Free Cancellation
Complejo Rural La Glorieta, 338,8.7,381,excellent,Free Cancellation
esZentrico Suites Jerez, 274,8.7,1647,excellent,Free Cancellation
Little Home Girona, 420,9.5,788,exceptional,Free Cancellation
Calas Beach Corralejo, 410,9,442,wonderful,Free Cancellation
Axel Hotel Madrid - Adults Only, 446,8.4,4144,very good,Free Cancellation
Casa TurÃ­stica Patio CordobÃ©s - Parking privado en la JuderÃ­a, 418,8.8,815,excellent,No Free Cancellation
NH Marbella, 419,8.4,2425,very good,No Free Cancellation
Radisson RED Madrid, 751,8.7,6813,excellent,No Free Cancellation
INNSiDE by MeliÃ¡ Fuerteventura â Adults Only," 1,080",9,777,wonderful,Free Cancellation
Bright apartment Sea Senses with sea views, 580,8.1,9,very good,No Free Cancellation
Hostal Abel Victoriano, 338,7.9,3116,good,Free Cancellation
Apartamentos La Santilar, 419,9.7,102,exceptional,No Free Cancellation
Pension Venecia Gomerez, 208,8.3,1004,very good,No Free Cancellation
Casa Manuel y Ana MarÃ­a., 300,9.6,133,exceptional,Free Cancellation
Vincci SelecciÃ³n Posada del Patio, 941,9.1,4343,wonderful,Free Cancellation
Hotel LIVVO Lumm, 616,8.8,2084,excellent,Free Cancellation
Hard Rock Hotel Marbella - Puerto BanÃºs, 409,8.3,3315,very good,No Free Cancellation
Sol Costa Atlantis Tenerife, 668,8.2,2326,very good,No Free Cancellation
Canopy by Hilton Madrid Castellana, 831,8.7,2698,excellent,No Free Cancellation
Casa Kalameta, 416,8.7,126,excellent,No Free Cancellation
Casa del Capitel NazarÃ­, 431,8.6,2135,excellent,Free Cancellation
Casa Rural La MadroÃ±a, 262,9.5,100,exceptional,Free Cancellation
TORREMOCHA, 473,9.4,169,wonderful,Free Cancellation
B Hotel, 397,8.6,3295,excellent,No Free Cancellation
La Quinta Del Chocolatero, 368,8.8,111,excellent,No Free Cancellation
ToledoRooms Palacios, 163,8.6,2154,excellent,Free Cancellation
Hotel Don Paco, 272,8,11423,very good,No Free Cancellation
Can Passarells, 436,9.2,401,wonderful,Free Cancellation
La Casa Del Miracle, 439,9.8,379,exceptional,Free Cancellation
Elba Madrid AlcalÃ¡, 628,8.8,8206,excellent,Free Cancellation
Hotel Cortezo, 776,8.1,7230,very good,Free Cancellation
Catalonia Oro Negro, 621,8,2694,very good,Free Cancellation
Motel One Madrid-Plaza de EspaÃ±a, 486,8.8,3255,excellent,No Free Cancellation
Apartamentos Real Lleida, 387,8.8,668,excellent,Free Cancellation
SBH Hotel Royal MÃ³nica, 632,7.5,851,good,Free Cancellation
H10 Universitat, 660,9,2332,wonderful,No Free Cancellation
Hampton By Hilton Alcobendas Madrid, 530,8.9,3316,excellent,No Free Cancellation
Hotel Marquesa, 453,7.7,1746,good,Free Cancellation
Ok Hostel Madrid, 480,8.9,12193,excellent,Free Cancellation
Avent Verahotel, 460,8.6,966,excellent,Free Cancellation
Hotel Marconi, 245,7.8,3681,good,Free Cancellation
La Finca Resort, 554,8.5,256,very good,No Free Cancellation
Hotel California, 580,8,2660,very good,No Free Cancellation
Ca' La Conchin, 260,8.3,113,very good,Free Cancellation
Apartamentos Varadero Sea View, 306,8.3,137,very good,No Free Cancellation
Aldara Sitges, 255,8.4,493,very good,Free Cancellation
Apartamentos La Bola Suite, 321,9.3,1591,wonderful,No Free Cancellation
EL TRASTERO DE PALMERO, 184,9,891,wonderful,Free Cancellation
Hotel DoÃ±a MarÃ­a, 398,8.8,4055,excellent,No Free Cancellation
ApartaSuites Alberca Deluxe, 326,9.2,1055,wonderful,No Free Cancellation
